86,141,95,41,22
95,41,22,21,32
22,21,32,72,138
32,72,138,111,48
138,111,48,23,19
48,23,19,27,59
19,27,59,129,129
59,129,129,58,27
129,58,27,19,24
27,19,24,46,112
24,46,112,144,73
112,144,73,30,20
73,30,20,19,37
20,19,37,92,152
37,92,152,93,36
152,93,36,20,18
36,20,18,29,71
18,29,71,146,117
71,146,117,46,23
117,46,23,18,22
23,18,22,52,128
22,52,128,142,62
128,142,62,26,17
62,26,17,19,37
17,19,37,100,158
37,100,158,86,32
158,86,32,17,17
32,17,17,27,72
17,27,72,154,118
72,154,118,43,20
118,43,20,15,21
20,15,21,47,128
21,47,128,150,63
128,150,63,24,16
63,24,16,17,33
16,17,33,92,166
33,92,166,95,33
166,95,33,16,14
33,16,14,22,58
14,22,58,149,137
58,149,137,50,20
137,50,20,15,16
20,15,16,35,106
16,35,106,169,82
106,169,82,28,15
82,28,15,14,23
15,14,23,65,160
23,65,160,133,45
160,133,45,18,14
45,18,14,16,36
14,16,36,111,176
36,111,176,80,26
176,80,26,14,13
26,14,13,20,60
13,20,60,163,140
60,163,140,45,18
140,45,18,12,14
18,12,14,30,98
14,30,98,185,93
98,185,93,28,14
93,28,14,12,17
14,12,17,46,145
17,46,145,167,58
145,167,58,19,11
58,19,11,12,21
11,12,21,68,183
21,68,183,132,38
183,132,38,15,11
38,15,11,13,26
11,13,26,93,202
26,93,202,100,27
202,100,27,12,10
27,12,10,13,30
10,13,30,114,206
30,114,206,82,21
206,82,21,11,9
21,11,9,10,30
9,10,30,120,215
30,120,215,77,20
215,77,20,10,8
20,10,8,9,21
8,9,21,95,234
21,95,234,99,22
234,99,22,9,8
22,9,8,7,9
8,7,9,35,176
9,35,176,215,46
176,215,46,11,7
46,11,7,5,4
7,5,4,3,4
4,3,4,19,105
4,19,105,125,55
105,125,55,30,28
55,30,28,41,71
28,41,71,98,79
71,98,79,49,34
79,49,34,33,47
34,33,47,75,95
47,75,95,76,48
95,76,48,34,35
48,34,35,49,78
35,49,78,96,75
78,96,75,47,34
75,47,34,34,49
34,34,49,81,99
49,81,99,76,46
99,76,46,32,33
46,32,33,49,83
33,49,83,101,74
83,101,74,44,32
74,44,32,33,50
32,33,50,85,103
50,85,103,73,43
103,73,43,30,31
43,30,31,49,85
31,49,85,106,74
85,106,74,43,31
74,43,31,31,49
31,31,49,87,109
49,87,109,76,41
109,76,41,29,30
41,29,30,47,87
30,47,87,110,76
87,110,76,41,28
76,41,28,30,47
28,30,47,88,114
47,88,114,79,41
114,79,41,28,28
41,28,28,45,86
28,45,86,117,82
86,117,82,42,26
82,42,26,26,43
26,26,43,84,119
43,84,119,85,42
119,85,42,26,25
42,26,25,39,80
25,39,80,121,90
80,121,90,43,26
90,43,26,24,36
26,24,36,76,123
36,76,123,96,46
123,96,46,26,23
46,26,23,35,72
23,35,72,123,102
72,123,102,50,27
102,50,27,22,31
27,22,31,64,121
31,64,121,110,53
121,110,53,27,21
53,27,21,28,57
21,28,57,117,120
57,117,120,59,28
120,59,28,20,25
28,20,25,49,109
25,49,109,128,68
109,128,68,31,20
68,31,20,23,43
20,23,43,98,135
43,98,135,77,34
135,77,34,22,22
34,22,22,36,86
22,36,86,139,91
86,139,91,38,21
91,38,21,19,30
21,19,30,73,137
30,73,137,107,44
